"133","00139","中國軟實力","中国软实力"
"134","00141","大中華集團","大中华集团"
"135","00142","第一太平","第一太平"
"136","00143","GLOBAL TECH","GLOBAL TECH"
"137","00144","招商局港口","招商局港口"
"138","00145","香港建屋貸款","香港建屋贷款"
"139","00146","TAI PING CARPET","TAI PING CARPET"
"140","00147","國際商業結算","国际商业结算"
"141","00148","建滔化工","建滔化工"
"142","00149","中國農產品交易","中国农产品交易"
"143","00151","中國旺旺","中国旺旺"
"144","00152","深圳國際","深圳国际"
"145","00153","中國賽特","中国赛特"
"146","00154","北京控股環境集團","北京控股环境集团"
"147","00155","中國源暢","中国源畅"
"148","00156","力寶華潤","力宝华润"
"149","00157","自然美","自然美"
"150","00158","萬邦投資","万邦投资"
"151","00159","布萊克萬礦業","布莱克万矿业"
"152","00160","漢國置業","汉国置业"
"153","00161","中航國際控股","中航国际控股"
"154","00162","世紀金花","世纪金花"
"155","00163","英皇國際","英皇国际"
"156","00164","中國寶力科技","中国宝力科技"
"157","00165","中國光大控股","中国光大控股"
"158","00166","新時代能源","新时代能源"
"159","00167","IDT INT'L","IDT INT'L"
"160","00168","青島啤酒股份","青岛啤酒股份"
"161","00169","萬達酒店發展","万达酒店发展"
"162","00171","銀建國際","银建国际"
"163","00172","金榜集團","金榜集团"
"164","00173","嘉華國際","嘉华国际"
"165","00174","盛洋投資","盛洋投资"
"166","00175","吉利汽車","吉利汽车"
"167","00176","聯太工業","联太工业"
"168","00177","江蘇寧滬高速公路","江苏宁沪高速公路"
"169","00178","莎莎國際","莎莎国际"
"170","00179","德昌電機控股","德昌电机控股"
"171","00180","開達集團","开达集团"
"172","00181","閩港控股","闽港控股"
"173","00182","協合新能源","协合新能源"
"174","00183","宏輝集團","宏辉集团"
"175","00184","激成投資","激成投资"
"176","00185","正恒國際控股","正恒国际控股"
"177","00186","GRANDE HOLDINGS","GRANDE HOLDINGS"
"178","00187","京城機電股份","京城机电股份"
"179","00188","新華匯富金融","新华汇富金融"
"180","00189","東岳集團","东岳集团"
"181","00190","香港建設（控股）","香港建设（控股）"
"182","00191","麗新國際","丽新国际"
"183","00193","冠中地產","冠中地产"
"184","00194","廖創興企業","廖创兴企业"
"185","00195","利海資源","利海资源"
"186","00196","宏華集團","宏华集团"
"187","00197","亨泰","亨泰"
"188","00198","星美控股","星美控股"
"189","00199","德祥地產","德祥地产"
"190","00200","新濠國際發展","新濠国际发展"
"191","00201","華大酒店","华大酒店"
"192","00202","潤中國際控股","润中国际控股"
"193","00205","財訊傳媒","财讯传媒"
"194","00206","ＴＳＣ集團","ＴＳＣ集团"
"195","00207","大悅城地產","大悦城地产"
"196","00208","保利達資產","保利达资产"
"197","00209","瀛晟科學","瀛晟科学"
"198","00210","達芙妮國際","达芙妮国际"
"199","00211","STYLAND HOLD","STYLAND HOLD"
"200","00212","NANYANG HOLD","NANYANG HOLD"
"201","00213","NATIONAL ELEC H","NATIONAL ELEC H"
"202","00214","匯漢控股","汇汉控股"
"203","00215","和記電訊香港","和记电讯香港"
"204","00216","建業實業","建业实业"
"205","00217","中國誠通發展集團","中国诚通发展集团"
"206","00218","申萬宏源","申万宏源"
"207","00219","順豪物業","顺豪物业"
"208","00220","統一企業中國","统一企业中国"
"209","00221","易易壹金融","易易壹金融"
"210","00222","閩信集團","闽信集团"
"211","00223","易生活控股","易生活控股"
"212","00224","建生國際","建生国际"
"213","00225","博富臨置業","博富临置业"
"214","00226","力寶","力宝"
"215","00227","第一上海","第一上海"
"216","00228","中能控股","中能控股"
"217","00229","利民實業","利民实业"
"218","00230","五礦地產","五矿地产"
"219","00231","平安證券集團控股","平安证券集团控股"
"220","00232","中國航空工業國際","中国航空工业国际"
"221","00233","銘源醫療","铭源医疗"
"222","00234","新世紀集團","新世纪集团"
"223","00235","中策集團","中策集团"
"224","00236","香港生力啤","香港生力啤"
"225","00237","安全貨倉","安全货仓"
"226","00238","長興國際","长兴国际"
"227","00239","白花油","白花油"
"228","00240","利基控股","利基控股"
"229","00241","阿里健康","阿里健康"
"230","00242","信德集團","信德集团"
"231","00243","QPL INT'L","QPL INT'L"
"232","00244","先施","先施"
"233","00245","中國民生金融","中国民生金融"
"234","00246","瑞金礦業","瑞金矿业"
"235","00247","TST PROPERTIES","TST PROPERTIES"
"236","00248","香港通訊國際控股","香港通讯国际控股"
"237","00250","中國數碼信息","中国数码信息"
"238","00251","爪哇控股","爪哇控股"
"239","00252","華信地產財務","华信地产财务"
"240","00253","順豪控股","顺豪控股"
"241","00254","國家聯合資源","国家联合资源"
"242","00255","龍記集團","龙记集团"
"243","00256","冠城鐘錶珠寶","冠城钟表珠宝"
"244","00257","中國光大國際","中国光大国际"
"245","00258","湯臣集團","汤臣集团"
"246","00259","億都（國際控股）","亿都（国际控股）"
"247","00260","幸福控股","幸福控股"
"248","00261","中建置地","中建置地"
"249","00262","迪臣發展國際","迪臣发展国际"
"250","00263","高富集團控股","高富集团控股"
"251","00264","中璽國際","中玺国际"
"252","00265","東勝中國","东胜中国"
"253","00266","天德地產","天德地产"
"254","00267","中信股份","中信股份"
"255","00268","金蝶國際","金蝶国际"
"256","00269","中國資源交通","中国资源交通"
"257","00270","粵海投資","粤海投资"
"258","00271","丹楓控股","丹枫控股"
"259","00272","瑞安房地產","瑞安房地产"
"260","00273","民信金控","民信金控"
"261","00274","中富資源","中富资源"
"262","00275","凱華集團","凯华集团"
"263","00276","蒙古能源","蒙古能源"
"264","00277","太興置業","太兴置业"
"265","00278","華廈置業","华厦置业"
"266","00279","民眾金融科技","民众金融科技"
"267","00280","景福集團","景福集团"
"268","00281","川河集團","川河集团"
"269","00282","壹傳媒","壹传媒"
"270","00283","高銀地產","高银地产"
"271","00285","比亞迪電子","比亚迪电子"
"272","00286","同佳健康","同佳健康"
"273","00287","永發置業","永发置业"
"274","00288","萬洲國際","万洲国际"
"275","00289","WING ON CO","WING ON CO"
"276","00290","中國富強金融","中国富强金融"
"277","00291","華潤啤酒","华润啤酒"
"278","00292","泛海酒店","泛海酒店"
"279","00293","國泰航空","国泰航空"
"280","00294","長江製衣","长江制衣"
"281","00295","江山控股","江山控股"
"282","00296","英皇娛樂酒店","英皇娱乐酒店"
"283","00297","中化化肥","中化化肥"
"284","00298","莊士中國","庄士中国"
"285","00299","新體育","新体育"
"286","00300","昆明機床","昆明机床"
"287","00303","VTECH HOLDINGS","VTECH HOLDINGS"
"288","00305","五菱汽車","五菱汽车"
"289","00306","冠忠巴士集團","冠忠巴士集团"
"290","00307","優派能源發展","优派能源发展"
"291","00308","香港中旅","香港中旅"
"292","00309","新華通訊頻媒","新华通讯频媒"
"293","00311","聯泰控股","联泰控股"
"294","00312","歲寶百貨","岁宝百货"
"295","00313","裕田中國","裕田中国"
"296","00315","數碼通電訊","数码通电讯"
"297","00316","東方海外國際","东方海外国际"
"298","00317","中船防務","中船防务"
"299","00318","黃河實業","黄河实业"
"300","00319","勤美達國際","勤美达国际"
"301","00320","金寶通","金宝通"
"302","00321","德永佳集團","德永佳集团"
"303","00322","康師傅控股","康师傅控股"
"304","00323","馬鞍山鋼鐵股份","马鞍山钢铁股份"
"305","00326","中國星集團","中国星集团"
"306","00327","百富環球","百富环球"
"307","00328","ALCO HOLDINGS","ALCO HOLDINGS"
"308","00329","叁龍國際","叁龙国际"
"309","00330","思捷環球","思捷环球"
"310","00331","豐盛機電","丰盛机电"
"311","00332","元亨燃氣","元亨燃气"
"312","00333","黛麗斯國際","黛丽斯国际"
